,Name,steam id,1v1 elo, tg elo
ITA Ale Atroo,76561198433723068
GdR Antonio 23,-1
Came14,76561198950354270
Hexandro 850,76561198386688130
Dott. Stone,-1
Mosè,76561198161093275
IlBuonFabio,76561198342887481
ITA Frades89,76561199186999084
Palosandro,76561198813974821
ITA Giaggiazena,76561198882586307
HSL Ildeclospietato,76561198315152103
ITA Pizza,76561199125896508
Lorenzo(MulhollandDrive8),76561198312090787
mdp89,76561198873539405
Elnor,76561198088015010
Auror,76561199032627394
Maurinho,-1
ITA Mike89,76561198015757438
playTheBlues/Aceventura,76561198849498636
Rino alluvione,76561198298177974
GdR Shenk,76561198346324382
Drago,76561199236320886
GdR Cillo,-1
Tonypolik,-1
Elinor,76561198019993139
Giulio DP,-1
